EventTime,Tag,EventType,Description,Priority,Unit,Operator
2024-01-15 08:01:00,B3PC30036A,Alarm,Reactor A pressure high,1,Unit-3,
2024-01-15 08:01:45,B3PC30036A,Action,Operator acknowledged,1,Unit-3,OPR01
2024-01-15 08:05:10,B3TC10012B,Alarm,Reactor A temperature high,1,Unit-3,
2024-01-15 08:06:00,B3TC10012B,Action,Operator reduced feed,1,Unit-3,OPR01
2024-01-15 08:10:30,B3LC20005C,Alarm,Feed tank level low,2,Unit-3,
2024-01-15 08:12:00,B3LC20005C,Action,Operator started backup pump,2,Unit-3,OPR02
2024-01-15 09:00:00,B4PC40011A,Alarm,Distillation column pressure high,1,Unit-4,
2024-01-15 09:01:00,B4PC40011A,Action,Operator reduced feed rate,1,Unit-4,OPR03
2024-01-15 09:15:00,B4TC50022B,Alarm,Reboiler temperature low,2,Unit-4,
2024-01-15 09:17:00,B4TC50022B,Action,Operator increased steam flow,2,Unit-4,OPR03
2024-01-15 10:00:00,B4FC60033A,Alarm,Reflux flow high,3,Unit-4,
2024-01-15 10:05:00,B4AC70044D,Alarm,Product quality deviation,2,Unit-3,
2024-01-15 10:06:00,B4AC70044D,Action,Operator adjusted setpoint,2,Unit-3,OPR01
2024-01-15 10:30:00,B3PC80055E,Alarm,Pump A command disagree,1,Unit-3,
2024-01-15 10:31:00,B3PC80055E,Action,Operator checked pump status,1,Unit-3,OPR02
